iso3,equal,pca,bod,entropy,geometric,equal_rank,pca_rank,bod_rank,entropy_rank,geometric_rank,A,B,C,D,E,F,G
AGO,44.07143506802721,39.93334373962944,49.12235179761905,44.46831769413969,42.74367208405257,43,44,44,36,41,43.973083333333335,37.59006,40.56135714285715,31.955180000000002,41.9519,72.421425,40.047039999999996
BDI,47.280995595238096,41.00326396585039,58.27416695833334,45.23935041542643,43.412991609120624,33,42,29,34,38,32.000366666666665,48.15412,57.9424375,28.813619999999997,50.357675,88.29044999999999,25.408300000000004
BEN,56.002201666666664,61.586864413997425,62.967498666666664,53.06675178601531,53.43571647434554,17,15,17,20,16,62.912816666666664,65.66028000000001,58.162150000000004,24.91164,73.68334999999999,58.308775,48.376400000000004
BFA,47.22244083333333,46.802881122774295,53.40532495833333,45.65165233868665,46.20215854427626,34,33,38,33,30,45.025483333333334,56.07542000000001,52.875937500000006,35.95978,36.733000000000004,64.17962499999999,39.70784
BWA,64.40698738095239,80.93119911051993,73.78934891666667,64.22801427125054,62.171334601194545,7,5,4,8,8,88.40446666666668,57.46584,66.45779999999999,49.82738,70.9179,37.477825,80.2977
CAF,27.230275238095235,11.854896203645678,37.70822616666667,26.241569214522443,21.042294842302617,53,53,52,52,53,21.019516666666664,38.45862,21.491675,9.56434,10.319099999999999,75.682975,14.075700000000001
CIV,55.88096464285714,57.659426823107154,62.263220625,54.41556911948647,54.606961214345276,18,20,20,18,15,55.9895,68.29934,49.9701875,36.877520000000004,52.5138,76.107125,51.40928
CMR,45.73723178571428,43.36293864781752,54.615590624999996,43.52545380111397,43.565679398540496,38,36,35,42,37,34.88985,53.06912,59.0416125,30.870279999999998,29.741974999999996,70.386825,42.16096
COD,33.545394387755096,21.070419810290517,46.067967178571436,31.16908625090716,27.354560751875965,50,50,46,50,50,21.693299999999997,52.76526,34.926185714285715,16.7358,18.17175,78.52062500000001,12.004839999999998
COG,44.7323037414966,44.95125093036147,48.596407630952385,43.72249511721021,44.1224060870236,41,35,45,41,35,35.238683333333334,48.08352,50.756542857142854,43.89399999999999,47.688075,53.938425,33.526880000000006
COM,52.87222333333333,55.22267863158403,59.649549833333325,50.54903038698374,51.535039302648,23,23,26,26,19,35.059999999999995,57.543899999999994,63.01073333333333,40.026700000000005,62.005399999999995,66.31925,46.13958
CPV,69.99237023809523,92.03088928678423,78.75341991666667,68.77484950670654,65.99964624820682,3,3,3,3,3,89.86791666666666,84.61564,71.83429999999998,71.05664,67.210725,26.52305,78.83832000000001
DJI,51.07651488095238,51.19258392876232,57.49108433333333,49.661028816863265,49.86930242497849,27,29,32,27,25,43.79846666666666,65.5285,47.252562499999996,39.08702,41.139175,71.6102,49.11968
DZA,59.5017644047619,80.30423004406111,69.83739704166666,57.9860568385568,45.842118220241495,14,6,11,14,32,47.842083333333335,71.14093999999999,72.7669875,83.50322000000001,70.591,4.397600000000001,66.27052
EGY,60.81685892857141,81.83407404310921,71.41850712499999,59.1731139424646,51.15751354486226,12,4,7,13,23,45.69045,69.00594,75.3911875,77.53674,68.59842499999999,9.011650000000001,80.48362
ERI,38.122370952380955,33.059821216492786,44.857558833333336,36.6863400371132,35.76844442108064,47,47,47,47,46,17.337916666666665,50.60994,38.693625,36.83042,36.6521,59.062475000000006,27.670120000000004
ETH,45.9049125,41.24264817678334,54.219617875000004,44.64841689329368,43.573455846604894,37,40,36,35,36,38.8242,50.80246,49.6033625,29.209360000000004,31.664849999999998,80.06817500000001,41.16198
GAB,50.9512975170068,57.31154397995368,58.122471988095235,48.424619074866,49.72775148407416,28,21,30,29,26,44.507933333333334,64.48454000000001,62.034614285714284,38.78836,36.688674999999996,46.9687,63.186260000000004
GHA,64.06563357142858,73.33566548808017,70.00013425,64.43832361179476,62.91261892532123,8,12,10,6,7,70.64710000000001,43.54982,71.02165,50.86268,79.326475,67.56235,65.48936
GIN,47.75496404761904,41.16424874768005,57.511128583333324,46.90756507634691,44.53476390804787,32,41,31,32,34,38.87938333333333,57.88006,34.883174999999994,27.426679999999998,45.962725,90.421825,38.8309
GMB,56.692325476190476,61.487743886194714,61.957445583333325,55.82777816063733,55.79237077100933,16,16,21,15,14,61.43373333333333,50.605900000000005,60.655199999999994,38.47714,68.1091,65.869025,51.696180000000005
GNB,46.190421904761905,45.87356499133517,52.58528791666666,44.12566509221992,44.90787500671381,35,34,41,37,33,37.66443333333333,55.74172,50.393225,35.0576,55.2938,58.459375,30.7228
GNQ,34.90422836734694,33.047288430282556,38.67815364285715,32.79242467083707,34.06566702474874,48,48,51,49,47,29.386449999999996,51.55978,34.99632857142857,23.7376,32.965225,37.108275,34.57594
KEN,57.04817488095238,59.59180448469892,62.73077133333332,55.228510073003456,55.87862609006943,15,17,18,16,13,54.86836666666667,65.34176,57.7488625,37.01766,58.022974999999995,76.0176,50.31999999999999
LBR,45.919220357142855,43.17154642867177,53.75834662500001,44.090517336006066,42.78902991472316,36,37,37,40,40,47.28215,49.14776,44.7352125,17.934820000000002,59.010625,68.454175,34.869800000000005
LBY,45.0289630952381,58.17182239143701,60.63027108333334,43.20802869033966,28.841732367052384,39,19,24,43,49,17.191166666666668,61.77938,68.133375,82.05138000000001,34.8835,1.6178000000000001,49.546139999999994
LSO,55.316390000000006,53.49227318419977,64.97503391666667,54.484197956559555,51.392705919191926,19,25,16,17,21,58.33343333333334,49.660199999999996,56.022475,22.194020000000002,45.27216666666667,93.869575,61.86286
MAR,65.00660880952381,79.94511533609666,72.04973408333333,64.44405519522515,63.79191168079837,6,7,5,5,6,59.39736666666667,74.83894000000001,73.24055,80.92466,50.61907500000001,46.09385,69.93181999999999
MDG,49.319018163265305,46.80607671981198,58.30180678571429,47.48743323596246,46.786762874359596,31,32,28,31,29,42.9428,50.15578,55.89735714285714,30.39356,60.377725,76.386725,29.079179999999997
MLI,44.69666,41.38613443754593,52.61406999999999,44.119271421553584,42.84328307293147,42,39,39,38,39,31.502749999999995,59.238879999999995,33.442750000000004,38.5246,34.186475,69.797125,46.184039999999996
MOZ,44.96462464285714,38.84100629773157,52.594747375000004,44.116018673619116,42.41164809753672,40,45,40,39,42,40.243,41.9132,49.2159125,26.58424,40.631825,82.998575,33.165620000000004
MRT,50.79295261904762,59.31509066724604,56.685012416666666,48.187167713654674,49.61901467901248,29,18,34,30,27,45.511433333333336,70.37478,54.211675,45.65322,57.63625,32.90455,49.25876
MUS,75.84258431972789,100.0,84.11549384523809,73.19908724616558,72.09099757523673,1,1,1,1,1,92.21140000000001,86.12232,85.16512857142857,60.828700000000005,87.87536666666666,32.459575,86.2356
MWI,52.98612464285715,51.23580980393447,64.98182175,52.785559010279336,48.824038329197485,22,28,15,22,28,57.5232,33.217600000000004,54.7145625,24.41694,77.3692,83.61235,40.049020000000006
NAM,65.83633547619047,73.61790402261423,71.04460208333333,65.31044583878277,64.84491776448081,4,11,8,4,4,80.12819999999999,64.99138,62.8114,44.140319999999996,65.20243333333333,77.523775,66.05684
NER,39.53979,40.53336473934239,44.39339325,37.93959251113724,38.66552777850245,46,43,49,46,45,44.3239,58.43803999999999,33.075425,31.07366,41.20055,35.239375,33.427580000000006
NGA,42.45408928571429,37.715494815628546,50.610117249999995,40.660909395488964,39.4793308760457,45,46,43,45,44,37.10335,50.628060000000005,45.1686,19.33136,28.252025000000003,71.71395,44.98128
RWA,62.379994642857135,67.23226456628525,69.10780224999999,61.3406213413563,60.39299926875988,9,14,12,10,10,76.749,61.245999999999995,62.4065625,33.231919999999995,59.00310000000001,81.5646,62.45877999999999
SDN,34.782984404761905,29.21768338038756,44.44078404166667,35.4891721200207,31.354117055668866,49,49,48,48,48,14.998433333333333,20.411700000000003,50.0624875,47.23954,25.023600000000002,56.793850000000006,28.951280000000004
SEN,65.34480285714285,77.35071212668714,70.26521100000001,64.26999955204604,64.64490640149462,5,9,9,7,5,69.46715,65.06438,64.70795,50.025760000000005,82.84642500000001,56.908975,68.39298
SLE,50.36749154761904,47.214581373483156,61.68794120833333,48.6053574040578,45.920301427642784,30,31,23,28,31,47.22963333333333,40.772439999999996,58.7006125,18.10676,66.55352500000001,83.23505,37.97442
SOM,27.47928130952381,18.655735845764287,36.21085795833333,25.450821787340953,23.42069549124077,52,52,53,53,52,11.128666666666666,28.0149,46.0569125,14.64128,12.6083,51.697050000000004,28.20786
SSD,17.766692619047614,0.0,25.052972916666665,18.12094695592511,11.882522991948592,54,54,54,54,54,7.678833333333333,16.582240000000002,11.829149999999998,11.28408,13.688275,60.94535,2.35892
STP,61.87961738095237,72.00175561334285,67.84250841666666,62.18259964590714,60.79804648120669,10,13,13,9,9,64.89803333333333,41.441019999999995,79.38761666666666,62.95477999999999,70.89886666666666,58.459525,55.11748
SWZ,51.87443547619048,53.220597032839464,58.65666016666666,51.75245516599042,50.53211761031524,26,27,27,23,24,45.62751666666667,50.39726,48.717075,37.390319999999996,41.06236666666667,71.75725,68.16926000000001
SYC,73.0359762585034,97.74266376981276,80.61983635714284,72.41281954276745,67.8551892267169,2,2,2,2,2,94.83308333333332,79.21718,77.85755714285713,78.10696,76.26093333333334,23.2669,81.70921999999999
TCD,30.53244469387755,20.651391528798076,39.16791814285715,28.92401225255659,26.99910340402668,51,51,50,51,51,26.02605,50.0255,19.51824285714286,14.080680000000001,27.5149,58.3609,18.200840000000003
TGO,52.823765476190474,53.40963324502296,59.80890541666667,50.794494002071104,51.37188715604188,24,26,25,25,22,48.13568333333333,62.92229999999999,52.98165,33.56918,57.996275,72.43895,41.72232
TUN,61.06381059523809,78.91693913218631,71.87697720833334,60.23316297174569,56.722490882897375,11,8,6,12,12,58.82236666666666,75.46988,74.1327375,86.43412000000001,43.476725,23.164925000000004,65.94592
TZA,52.73023892857143,55.227409230284785,57.47364262500001,51.147232318565244,51.8691252256962,25,22,33,24,17,56.48875,56.64162,58.9782125,36.312160000000006,51.773275000000005,65.348275,43.56938
UGA,53.91583083333333,50.52093775094176,62.53110329166667,52.947025980163,51.451189824594096,20,30,19,21,20,46.35143333333334,52.78220000000001,55.9840375,36.585660000000004,55.775725,93.3475,36.58426
ZAF,60.713725714285715,76.03220741826655,66.512453,60.27862457438654,59.06860651853641,13,10,14,11,11,69.69165,63.48445999999999,63.6929,59.84764,57.84785,33.374,77.05758
ZMB,53.53418238095237,53.912624825931466,61.818957166666664,53.351465149694725,51.72850223233017,21,24,22,19,18,57.89811666666666,42.77508,53.0586,34.027139999999996,68.262,75.9852,42.73314
ZWE,43.32344380952381,42.48881461740865,51.26962533333334,42.33506872474686,41.508607543766615,44,38,42,44,43,33.36066666666667,28.453179999999996,58.995200000000004,29.039859999999997,53.516625,57.394175000000004,42.5044
