iso3,year,method,score,reliability,rank
AGO,2000,equal,32.29,thin,50
AGO,2001,equal,32.33,unreliable,
AGO,2002,equal,35.49,thin,49
AGO,2003,equal,36.31,thin,48
AGO,2004,equal,39.15,thin,47
AGO,2005,equal,41.03,thin,43
AGO,2006,equal,43.73,thin,40
AGO,2007,equal,43.7,thin,43
AGO,2008,equal,44.72,thin,41
AGO,2009,equal,44.49,thin,42
AGO,2010,equal,45.77,thin,42
AGO,2011,equal,44.0,thin,44
AGO,2012,equal,45.09,reliable,44
AGO,2013,equal,44.44,thin,46
AGO,2014,equal,43.76,thin,46
AGO,2015,equal,45.6,reliable,44
AGO,2016,equal,45.86,reliable,43
AGO,2017,equal,46.51,thin,45
AGO,2018,equal,46.65,thin,45
AGO,2019,equal,46.84,thin,44
AGO,2020,equal,46.23,thin,43
AGO,2021,equal,46.0,thin,43
AGO,2022,equal,47.67,thin,43
AGO,2023,equal,49.1,thin,43
AGO,2024,equal,50.81,unreliable,
BDI,2000,equal,37.38,thin,44
BDI,2001,equal,37.84,unreliable,
BDI,2002,equal,39.69,thin,40
BDI,2003,equal,40.1,thin,43
BDI,2004,equal,41.44,thin,41
BDI,2005,equal,43.99,thin,35
BDI,2006,equal,47.32,thin,33
BDI,2007,equal,47.57,thin,33
BDI,2008,equal,47.6,thin,33
BDI,2009,equal,48.09,reliable,35
BDI,2010,equal,47.42,reliable,39
BDI,2011,equal,47.93,thin,38
BDI,2012,equal,47.49,thin,41
BDI,2013,equal,49.46,reliable,38
BDI,2014,equal,50.24,reliable,36
BDI,2015,equal,48.59,reliable,40
BDI,2016,equal,47.57,reliable,40
BDI,2017,equal,47.92,reliable,41
BDI,2018,equal,48.65,reliable,39
BDI,2019,equal,48.18,thin,40
BDI,2020,equal,48.82,thin,38
BDI,2021,equal,49.15,reliable,39
BDI,2022,equal,50.43,reliable,38
BDI,2023,equal,50.69,thin,36
BDI,2024,equal,50.68,unreliable,
BEN,2000,equal,47.21,thin,22
BEN,2001,equal,47.3,thin,8
BEN,2002,equal,47.05,thin,25
BEN,2003,equal,47.76,thin,26
BEN,2004,equal,48.49,thin,28
BEN,2005,equal,48.06,thin,31
BEN,2006,equal,50.26,thin,27
BEN,2007,equal,50.78,thin,28
BEN,2008,equal,51.12,thin,27
BEN,2009,equal,52.23,thin,24
BEN,2010,equal,52.77,thin,22
BEN,2011,equal,51.99,thin,24
BEN,2012,equal,52.52,thin,28
BEN,2013,equal,53.04,thin,24
BEN,2014,equal,52.83,thin,27
BEN,2015,equal,53.71,thin,23
BEN,2016,equal,53.68,thin,22
BEN,2017,equal,55.12,thin,21
BEN,2018,equal,57.31,reliable,19
BEN,2019,equal,58.14,thin,17
BEN,2020,equal,58.42,reliable,15
